001-001,P / BQEZNKKXJ:Ethnoplants-92,Pereskiopsis scandens,23/05/23 / Zone 10b : 1,7 à 4,4°C
002-002,S10 / BQEZNKKXJ:Ethnoplants-1134,Trichocereus bridgesii,13/05/23
003-003,P / JP001:Jardin Pfister-...,Stetsonia coryne,10/04/24 / Zone 9b : -3,9 à -1,1°C
004-004,P / Saint-Dié:Manfred-...,Opuntia humifusa,01/07/23 / Zone 4a : -34,4 à -31,7°C
005-005,P / Sarah:Sarah-...,Opuntia ficus indica,01/07/22 / Zone 8b : -9,4 à -6,7°C
006-006,P / Mireille:Schoppenwihr-...,Lophophora williamsii,04/11/23 / Zone 10a : -1,1 à 1,7°C
007-007,P / visite:Schoppenwihr-...,Sulcorebutia rauschii,30/04/23 / Zone 8b : -9,4 à -6,7°C
009-009,P / ORD60275:Uhlig-108874,Pereskiopsis spathulata,23/10/23 / Zone 10b : 1,7 à 4,4°C
010-010,P / ORD60275:Uhlig-119365,Trichocereus peruvianus ,23/10/23 / Zone 9b : -3,9 à -1,1°C
011-011,P / ORD62623:Uhlig-109941,Setiechinopsis mirabilis,24/01/24 / Zone 10a : -1,1 à 1,7°C
012-012,P / ORD62623:Uhlig-116536,Weingartia kargliana,24/01/24 / Zone Non définie
013-013,P / ORD62623:Uhlig-110798,Trichocereus terscheckii,24/01/24 / Zone 8b : -9,4 à -6,7°C
014-014,P / ORD62623:Uhlig-108409,Oreocereus trollii,24/01/24 / Zone 7a : -17,8 à -15°C
015-015,P / ORD62623:Uhlig-107136,Matucana madisoniorum,24/01/24 / Zone 9b : -3,9 à -1,1°C
017-017,P / ORD62623:Uhlig-107248,Melocactus neomontanus,24/01/24 / Zone 11a : 4,4 à 7,2°C
018-018,P / ORD62623:Uhlig-107364,Myrtillocactus geometrizans,24/01/24 / Zone 9b : -3,9 à -1,1°C
019-019,P / ORD62623:Uhlig-100700,Cereus peruvianus monstruosus,24/01/24 / Zone 9a : -6,7 à -3,9°C
020-020,P / ORD62623:Uhlig-100233,Astrophytum asterias,24/01/24 / Zone 9a : -6,7 à -3,9°C
022-022,S5 / 78866:Koehres-4930,Lophophora jourdaniana,06/12/23
023-023,S6 / 78866:Koehres-864,Lophophora williamsii,06/12/23
026-026,S9 / 78866:Koehres-1781,Trichocereus pachanoi,06/12/23
028-028,S1 / 78866:Koehres-4994,Aztekium hintonii,06/12/23
029-029,S2 / 78866:Koehres-141,Bolivicereus samaipatanus,06/12/23
030-030,S21 / 79108:Koehres-221,Cleistocactus Jujuyensis,29/02/24
031-031,S20 / 79108:Koehres-9228,Astrophytum capricorne - v bustamante,29/02/24
033-033,S31 / 79108:Koehres-4919,Tephrocactus alexanderi,08/03/24
036-036,S12 / 79185:Koehres-8833,Lophophora fricii,28/12/23
